Task,#,Assigned,Depends on,Description,Stage,Status
Order — Logic Layer (Contract + Entities + States + Notifiers + Providers),22,Ahmed Alalawi,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),"order/logic/contracts/order_repository.dart (abstract IOrderRepository). order/logic/entities/: order_entity.dart, order_item_entity.dart. order/logic/states/: order_state.dart, checkout_state.dart (sealed). order/logic/notifiers/: order_notifier.dart, checkout_notifier.dart. order/logic/providers/order_provider.dart (ordersProvider, orderDetailProvider, checkoutProvider).",6. Order Feature,Done
Order — UI Layer (Screens + Widgets),23,,Order — Logic Layer (Contract + Entities + States + Notifiers + Providers) (Order%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20States%20%20f04d205303f9441d95d4c4316ba634fb.csv),"order/ui/screens/: checkout_screen.dart, order_confirmation_screen.dart, orders_list_screen.dart, order_detail_screen.dart. order/ui/widgets/: order_card.dart, order_status_badge.dart, order_items_list.dart, address_form.dart.",6. Order Feature,Done
Wishlist — Data + Logic + UI,24,Ahmed Alalawi,Order — Logic Layer (Contract + Entities + States + Notifiers + Providers) (Order%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20States%20%20f04d205303f9441d95d4c4316ba634fb.csv),wishlist/data/datasource/wishlist_remote_datasource.dart. wishlist/data/models/wishlist_item_model.dart. wishlist/data/mappers/wishlist_item_mapper.dart. wishlist/data/repositories/wishlist_repository_impl.dart. wishlist/logic/contracts/wishlist_repository.dart. wishlist/logic/entities/wishlist_item_entity.dart. wishlist/logic/states/wishlist_state.dart. wishlist/logic/notifiers/wishlist_notifier.dart. wishlist/logic/providers/wishlist_provider.dart. wishlist/ui/screens/wishlist_screen.dart. wishlist/ui/widgets/wishlist_product_card.dart.,6. Order Feature,Done
Notifications — Data + Logic + UI,25,Ahmed Alalawi,Wishlist — Data + Logic + UI (Wishlist%20%E2%80%94%20Data%20+%20Logic%20+%20UI%205291196008f6411b80328ba4c513f2bb.csv),"notifications/data/datasource/notification_remote_datasource.dart (getNotifications, markAsRead, markAllAsRead, realtime channel). notifications/data/models/notification_model.dart. notifications/data/mappers/notification_mapper.dart. notifications/data/repositories/notification_repository_impl.dart. notifications/logic/contracts/notification_repository.dart. notifications/logic/entities/notification_entity.dart. notifications/logic/states/notification_state.dart. notifications/logic/notifiers/notification_notifier.dart (realtime sub). notifications/logic/providers/notification_provider.dart. notifications/ui/screens/notifications_screen.dart. notifications/ui/widgets/notification_tile.dart.",6. Order Feature,Done
Admin — Categories (Data + Logic + UI),35,Ahmed Alalawi,Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv),"admin_category/data/datasource/admin_category_remote_datasource.dart (CRUD). admin_category/data/models+mappers+repositories. admin_category/logic/contracts+entities+states+notifiers+providers. admin_category/ui/screens/: admin_categories_screen.dart, admin_category_form_screen.dart. admin_category/ui/widgets/.",9. Admin Panel (Web),Todo
"Database — RLS Policies, Functions & Seed Data",36,Ahmed Alalawi,Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv),"Write Supabase RLS policies for all tables. Create Supabase DB functions/triggers: auto-create user profile on signup, update order status trigger. Seed dev data: 3 categories, 10 products with variants, 1 admin user. Document all policies.",2. Database Design (Supabase),Todo
Error Handling & Validation,37,,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)",Global error system and input validation. Depends on all features.,10. Finalization,Todo
Performance Optimization,38,,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)","Caching, pagination, lazy loading. Depends on all features.",10. Finalization,Todo
Testing — Widget & Integration Tests,27,Ahmed Alalawi,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)","Widget tests for all reusable core/widgets/. Integration tests for auth flow, cart flow, order flow. Use flutter_test + mocktail. Test Riverpod providers with ProviderContainer override pattern. CI-ready test structure.",10. Finalization,Todo
Production — Build & Deployment,28,Ahmed Alalawi,Testing — Widget & Integration Tests (Testing%20%E2%80%94%20Widget%20&%20Integration%20Tests%20a6c82896ba2940e8b078800e02a74a28.csv),Configure .env.production. Build release APK and iOS archive. Setup Supabase RLS final review. Configure deep links for go_router. App icon + splash screen via flutter_launcher_icons + flutter_native_splash. ProGuard rules for Android.,10. Finalization,Todo
Admin Web Project Initialization,39,Ahmed Alalawi,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Create a separate Flutter Web project for admin panel with clean structure.,9. Admin Panel (Web),Done
Admin Authentication (Web),42,Ahmed Alalawi,Setup Supabase for Admin Web (Setup%20Supabase%20for%20Admin%20Web%2034e9611382a1814cab57fef39f217d9c.csv),Implement login system for admins using Supabase Auth.,9. Admin Panel (Web),Done
Setup Supabase for Admin Web,41,Ahmed Alalawi,Admin Web Project Initialization (Admin%20Web%20Project%20Initialization%2034e9611382a1810c9d52d5aa918d28bc.csv),Configure Supabase client and environment variables for web platform.,9. Admin Panel (Web),Done
Admin Role Guard (Web),43,Ahmed Alalawi,Admin Authentication (Web) (Admin%20Authentication%20(Web)%2034e9611382a181309d61c8cb153e1c2c.csv),Restrict access to admin-only users using role validation.,9. Admin Panel (Web),Done
Configure Admin Clean Architecture,40,Ahmed Alalawi,Admin Web Project Initialization (Admin%20Web%20Project%20Initialization%2034e9611382a1810c9d52d5aa918d28bc.csv),Setup feature-first clean architecture (data/domain/presentation) for admin web.,9. Admin Panel (Web),Done
Categories Management Page,46,Ahmed Alalawi,Create Categories Table (Create%20Categories%20Table%206c200abc2dfb4281a333d102543f0f3a.csv),CRUD categories with multilingual support.,9. Admin Panel (Web),Done
Variants Management UI,48,Ahmed Alalawi,Products Management Page (Products%20Management%20Page%2034e9611382a18194abe5eecc0e509ec6.csv),"Manage sizes, colors, stock, price, discount per product.",9. Admin Panel (Web),Done
Dashboard Analytics Page,45,Ahmed Alalawi,,"Show metrics: total orders, total revenue, product count, recent orders.",9. Admin Panel (Web),Done
Products Management Page,47,Ahmed Alalawi,,CRUD products with category assignment.,9. Admin Panel (Web),Done
Admin Layout System,44,Ahmed Alalawi,Configure Admin Clean Architecture (Configure%20Admin%20Clean%20Architecture%2034e9611382a181aba6f6c8ce0ab00600.csv),"Build responsive admin layout with sidebar, topbar, and routing system.",9. Admin Panel (Web),Done
Admin State Management (Riverpod),53,Ahmed Alalawi,Configure Admin Clean Architecture (Configure%20Admin%20Clean%20Architecture%2034e9611382a181aba6f6c8ce0ab00600.csv),Implement Notifiers for all admin features.,9. Admin Panel (Web),Done
Order Details Page,51,Ahmed Alalawi,Orders Management Page (Orders%20Management%20Page%2034e9611382a181f28f8bd1de94d44c7a.csv),Show full order breakdown with items and user info.,9. Admin Panel (Web),Done
Image Upload (Web),49,Ahmed Alalawi,Setup Supabase for Admin Web (Setup%20Supabase%20for%20Admin%20Web%2034e9611382a1814cab57fef39f217d9c.csv),Upload images using Supabase Storage with preview.,9. Admin Panel (Web),Done
Notifications Trigger Logic,52,Ahmed Alalawi,Orders Management Page (Orders%20Management%20Page%2034e9611382a181f28f8bd1de94d44c7a.csv),Trigger notification creation when order status changes.,9. Admin Panel (Web),Done
Orders Management Page,50,Ahmed Alalawi,,View all orders and update status.,9. Admin Panel (Web),Done
Form System + Validation,54,Ahmed Alalawi,,Build reusable forms and validation logic.,9. Admin Panel (Web),Done
Performance Optimization (Web),57,Ahmed Alalawi,,"Optimize queries, pagination, caching.",9. Admin Panel (Web),Done
Security Rules (Supabase RLS),56,Ahmed Alalawi,,Enforce row-level security: only admin can modify data.,9. Admin Panel (Web),Done
Table Component System,55,Ahmed Alalawi,Admin Layout System (Admin%20Layout%20System%2034e9611382a181c2bde5f06744fe7305.csv),"Reusable data tables with pagination, sorting, filtering.",9. Admin Panel (Web),Done
Admin Testing & QA,58,Ahmed Alalawi,,Test all flows and edge cases.,9. Admin Panel (Web),Done
Node.js + Express + Supabase Backend (Feature-Based Architecture),1,,,"Build a production-grade REST API backend using Node.js, Express, and Supabase with Feature-Based Architecture. Covers: Auth, Products, Cart, Orders, Wishlist, Notifications, Users, Admin.",1. Project Foundation,Done
Next.js 14 Frontend (React + TypeScript + Tailwind + i18n),2,,,"Build a production-grade frontend using Next.js 14 App Router, TypeScript, Tailwind CSS, Zustand, TanStack Query, and next-intl. Covers: Auth, Products, Cart, Checkout, Orders, Wishlist, Notifications, Profile, Admin Panel, AR/EN RTL/LTR.",1. Project Foundation,Done
